id;guest_check_id;chk_num;opn_lcl;clsd_lcl;cancel_flag;gst_cnt;tbl_num;tax_coll_ttl;sub_ttl;chk_ttl;svc_chg_ttl;tip_total;dsc_ttl;error_correct_ttl;return_ttl;xfer_to_chk_num;xfer_status;ot_num;loc_ref
1;29339;14269;2025-07-29T06:50:47;2025-07-29T01:03:55;true;26182;1727;13109.69;26592.89;17711.8;8978.71;30689.67;14451.25;140.6;7893.56;26003;veto;30387;boo
2;15847;10044;2025-07-29T08:30:08;2025-07-29T04:15:02;true;31355;26720;1228.65;8588.21;6269.86;15659.5;6952.06;15579.83;14265.86;17154.78;18215;mortally pfft vainly;4848;boo
3;9964;7909;2025-07-29T02:04:52;2025-07-28T23:03:33;false;20417;3851;17090.45;16912.81;28471.53;29015.08;17073.07;6845.26;5392.36;19539.1;4558;conclude;29996;daintily tensely ambitious
4;7037;15707;2025-07-29T08:16:34;2025-07-28T19:29:47;false;28365;128;7604.95;20094.52;13073.98;5124.61;29710.87;4485.59;17756.07;30068.96;3482;basket;26983;focused disadvantage amid
5;22003;26868;2025-07-28T18:45:32;2025-07-29T03:57:25;true;32229;27699;3312.66;2862.47;8652.66;1295.94;29237.03;12218.25;27892.85;14723.72;15309;despite taxicab;24279;in
6;16659;22636;2025-07-29T02:11:22;2025-07-29T05:58:20;true;21710;1441;23935.76;5613.12;31202.35;9155.45;21294.85;8848.99;1370.71;21273.12;29582;righteously coliseum yahoo;9866;consequently awful fess
7;22856;14320;2025-07-29T11:22:49;2025-07-28T12:56:16;false;16270;7295;10883.73;9195.58;30557.4;29455.94;19927.52;10411.59;23280.74;19351.63;32379;the regal;9259;wherever
8;519;5559;2025-07-29T07:55:22;2025-07-28T15:29:57;false;11914;28408;1552.14;29426.56;11836.89;1837.61;16812.25;6616.93;11584.26;5068.91;24258;wear;19789;venom oof
9;752;12525;2025-07-29T00:25:58;2025-07-29T07:02:13;true;25693;12689;28500.33;24764.28;32417.82;8060.99;5800.73;16029.11;29582.64;15052.96;880;whenever;22959;advancement
10;2813;7434;2025-07-29T09:38:20;2025-07-29T12:07:15;false;6049;4045;19300.22;17954.85;26726.08;30214.95;1158.38;13411.57;25280.99;27848.56;23268;supposing;6836;wonderfully thorn pish
